,time,close,high,low,open,volume,baseVolume,datetime
151,1593043200,9270.22,9298.33,9238.55,9296.49,1857.72,17231307.85,2020-06-25 00:00:00
152,1593046800,9276.5,9306.82,9270.18,9270.22,1026.0,9529992.02,2020-06-25 01:00:00
153,1593050400,9255.01,9285.49,9224.0,9276.5,2009.95,18606015.56,2020-06-25 02:00:00
154,1593054000,9100.36,9257.0,9009.69,9255.01,10100.27,92063523.53,2020-06-25 03:00:00
155,1593057600,9112.17,9158.52,9090.17,9100.36,4475.29,40809561.58,2020-06-25 04:00:00
156,1593061200,9179.35,9196.92,9097.83,9112.17,2557.48,23423655.44,2020-06-25 05:00:00
157,1593064800,9185.45,9198.0,9164.14,9179.35,1573.97,14455395.25,2020-06-25 06:00:00
158,1593068400,9173.48,9189.56,9141.77,9185.45,1393.65,12776533.63,2020-06-25 07:00:00
159,1593072000,9301.14,9332.94,9173.48,9173.48,4405.37,40855328.41,2020-06-25 08:00:00
160,1593075600,9254.47,9315.67,9244.15,9301.14,2358.41,21888442.85,2020-06-25 09:00:00
161,1593079200,9268.63,9283.0,9246.58,9254.47,1586.55,14702196.99,2020-06-25 10:00:00
162,1593082800,9255.49,9295.9,9254.99,9268.63,1210.86,11228122.69,2020-06-25 11:00:00
163,1593086400,9185.82,9265.9,9160.03,9255.49,3073.27,28284595.67,2020-06-25 12:00:00
164,1593090000,9194.46,9242.47,9170.07,9185.82,1990.37,18336380.5,2020-06-25 13:00:00
165,1593093600,9251.02,9269.7,9193.37,9194.46,2071.61,19147766.91,2020-06-25 14:00:00
166,1593097200,9236.77,9252.4,9216.34,9251.02,1582.82,14615078.5,2020-06-25 15:00:00
167,1593100800,9289.48,9294.98,9212.0,9236.77,2097.16,19419305.24,2020-06-25 16:00:00
168,1593104400,9283.2,9296.69,9265.8,9289.48,1264.25,11733320.68,2020-06-25 17:00:00
169,1593108000,9251.98,9291.46,9247.63,9283.2,1232.46,11420264.16,2020-06-25 18:00:00
170,1593111600,9287.06,9295.0,9234.52,9251.98,1325.33,12297663.73,2020-06-25 19:00:00
171,1593115200,9275.0,9301.1,9272.34,9287.06,1181.19,10968232.82,2020-06-25 20:00:00
172,1593118800,9304.59,9340.0,9273.57,9275.0,1640.6,15275799.72,2020-06-25 21:00:00
173,1593122400,9261.51,9316.75,9215.0,9304.59,3076.42,28475191.6,2020-06-25 22:00:00
174,1593126000,9249.49,9265.0,9236.97,9261.51,740.63,6853072.06,2020-06-25 23:00:00
175,1593129600,9282.99,9290.01,9182.5,9249.49,2691.65,24874313.38,2020-06-26 00:00:00
176,1593133200,9257.06,9298.0,9251.84,9282.99,1133.7,10513476.62,2020-06-26 01:00:00
177,1593136800,9262.84,9264.99,9238.43,9257.06,1010.28,9346827.89,2020-06-26 02:00:00
178,1593140400,9246.83,9262.84,9232.98,9262.84,925.01,8550090.85,2020-06-26 03:00:00
179,1593144000,9257.5,9270.0,9230.0,9246.83,970.38,8972345.59,2020-06-26 04:00:00
180,1593147600,9221.76,9272.12,9202.47,9257.5,1700.59,15698732.9,2020-06-26 05:00:00
181,1593151200,9211.74,9235.14,9193.4,9221.76,1312.2,12094731.69,2020-06-26 06:00:00
182,1593154800,9146.09,9211.76,9100.18,9211.74,5607.39,51287460.17,2020-06-26 07:00:00
